strain	Accession_ID	date	division	Pango_lineage	Variant	division2	pango.group	label
Canada/MB-NML-85406/2021	EPI_ISL_2495587	2021-05-12	Manitoba	B.1.1.7	Alpha	Manitoba	Alpha	Canada_MB-NML-85406_2021
Canada/MB-NML-85407/2021	EPI_ISL_2495589	2021-05-13	Manitoba	B.1.1.7	Alpha	Manitoba	Alpha	Canada_MB-NML-85407_2021
Canada/MB-NML-85419/2021	EPI_ISL_2495603	2021-05-16	Manitoba	B.1.351	Beta	Manitoba	Beta	Canada_MB-NML-85419_2021
Canada/MB-NML-85421/2021	EPI_ISL_2495618	2021-05-08	Manitoba	B.1.36.18	other	Manitoba	other	Canada_MB-NML-85421_2021
Canada/MB-NML-86771/2021	EPI_ISL_2495624	2021-05-19	Manitoba	B.1.617.2	Delta + AY.*	Manitoba	Delta	Canada_MB-NML-86771_2021
Canada/MB-NML-85413/2021	EPI_ISL_2495631	2021-05-14	Manitoba	B.1.617.2	Delta + AY.*	Manitoba	Delta	Canada_MB-NML-85413_2021
Canada/MB-NML-86801/2021	EPI_ISL_2495665	2021-05-21	Manitoba	B.1.617.2	Delta + AY.*	Manitoba	Delta	Canada_MB-NML-86801_2021
Canada/MB-NML-70489/2021	EPI_ISL_2495672	2021-04-28	Manitoba	B.1.526	other	Manitoba	other	Canada_MB-NML-70489_2021
Canada/MB-NML-70509/2021	EPI_ISL_2495676	2021-04-29	Manitoba	B.1.526	other	Manitoba	other	Canada_MB-NML-70509_2021
Canada/MB-NML-70513/2021	EPI_ISL_2495680	2021-05-03	Manitoba	B.1.526	other	Manitoba	other	Canada_MB-NML-70513_2021
Canada/MB-NML-85429/2021	EPI_ISL_2495689	2021-05-11	Manitoba	B.1.526	other	Manitoba	other	Canada_MB-NML-85429_2021
Canada/MB-NML-86767/2021	EPI_ISL_2495703	2021-05-20	Manitoba	B.1.526	other	Manitoba	other	Canada_MB-NML-86767_2021
Canada/MB-NML-86815/2021	EPI_ISL_2495711	2021-05-22	Manitoba	B.1.526	other	Manitoba	other	Canada_MB-NML-86815_2021
Canada/MB-NML-21224/2021	EPI_ISL_2495713	2021-03-13	Manitoba	B.1.617.1	other	Manitoba	other	Canada_MB-NML-21224_2021
Canada/MB-NML-21232/2021	EPI_ISL_2495715	2021-03-14	Manitoba	B.1.617.1	other	Manitoba	other	Canada_MB-NML-21232_2021
Canada/MB-NML-2340/2020	EPI_ISL_2495717	2020-10-09	Manitoba	AE.8	other	Manitoba	other	Canada_MB-NML-2340_2020
Canada/MB-NML-23446/2020	EPI_ISL_2495720	2020-11-26	Manitoba	B.1.36.18	other	Manitoba	other	Canada_MB-NML-23446_2020
Canada/MB-NML-23448/2021	EPI_ISL_2495721	2021-03-11	Manitoba	B.1.438.1	B.1.438.1	Manitoba	other	Canada_MB-NML-23448_2021
Canada/MB-NML-60237/2021	EPI_ISL_2495722	2021-03-30	Manitoba	B.1.438.1	B.1.438.1	Manitoba	other	Canada_MB-NML-60237_2021
Canada/MB-NML-60278/2021	EPI_ISL_2495723	2021-03-29	Manitoba	B.1.36.18	other	Manitoba	other	Canada_MB-NML-60278_2021
Canada/MB-NML-60233/2021	EPI_ISL_2495725	2021-04-06	Manitoba	B.1.438.1	B.1.438.1	Manitoba	other	Canada_MB-NML-60233_2021
Canada/MB-NML-34971/2021	EPI_ISL_2495726	2021-04-02	Manitoba	AE.8	other	Manitoba	other	Canada_MB-NML-34971_2021
Canada/MB-NML-34963/2021	EPI_ISL_2495727	2021-04-05	Manitoba	B.1.438.1	B.1.438.1	Manitoba	other	Canada_MB-NML-34963_2021
Canada/MB-NML-34962/2021	EPI_ISL_2495730	2021-04-03	Manitoba	AE.8	other	Manitoba	other	Canada_MB-NML-34962_2021
Canada/MB-NML-70536/2021	EPI_ISL_2495739	2021-04-27	Manitoba	B.1.36.18	other	Manitoba	other	Canada_MB-NML-70536_2021
Canada/MB-NML-86748/2021	EPI_ISL_2495745	2021-05-17	Manitoba	B.1.36.18	other	Manitoba	other	Canada_MB-NML-86748_2021
Canada/BC-BCCDC-15669/2020	EPI_ISL_2497983	2020-12-30	British_Columbia	B.1.177	Alpha	British_Columbia	Alpha	Canada_BC-BCCDC-15669_2020
Canada/BC-BCCDC-15680/2021	EPI_ISL_2497986	2021-01-03	British_Columbia	B.1.36.36	other	British_Columbia	other	Canada_BC-BCCDC-15680_2021
Canada/BC-BCCDC-34989/2021	EPI_ISL_2498005	2021-01-13	British_Columbia	B.1.36.36	other	British_Columbia	other	Canada_BC-BCCDC-34989_2021
Canada/BC-BCCDC-35038/2021	EPI_ISL_2498044	2021-01-21	British_Columbia	B.1.36.36	other	British_Columbia	other	Canada_BC-BCCDC-35038_2021
Canada/BC-BCCDC-35130/2020	EPI_ISL_2498097	2020-11-19	British_Columbia	B.1.128	other	British_Columbia	other	Canada_BC-BCCDC-35130_2020
Canada/BC-BCCDC-35190/2021	EPI_ISL_2498140	2021-01-09	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-35190_2021
Canada/BC-BCCDC-35203/2020	EPI_ISL_2498151	2020-11-29	British_Columbia	AE.8	other	British_Columbia	other	Canada_BC-BCCDC-35203_2020
Canada/BC-BCCDC-35295/2020	EPI_ISL_2498221	2020-12-01	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-35295_2020
Canada/BC-BCCDC-35324/2021	EPI_ISL_2498235	2021-01-19	British_Columbia	B.1.36	other	British_Columbia	other	Canada_BC-BCCDC-35324_2021
Canada/BC-BCCDC-35424/2021	EPI_ISL_2498251	2021-01-04	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-35424_2021
Canada/BC-BCCDC-35580/2020	EPI_ISL_2498336	2020-12-24	British_Columbia	B.1.128	other	British_Columbia	other	Canada_BC-BCCDC-35580_2020
Canada/BC-BCCDC-35713/2021	EPI_ISL_2498423	2021-01-14	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-35713_2021
Canada/BC-BCCDC-36178/2021	EPI_ISL_2498726	2021-01-11	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-36178_2021
Canada/BC-BCCDC-36199/2020	EPI_ISL_2498744	2020-12-31	British_Columbia	B.1.36.36	other	British_Columbia	other	Canada_BC-BCCDC-36199_2020
Canada/BC-BCCDC-36214/2021	EPI_ISL_2498753	2021-01-28	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-36214_2021
Canada/BC-BCCDC-36255/2021	EPI_ISL_2498786	2021-01-27	British_Columbia	B.1.36	other	British_Columbia	other	Canada_BC-BCCDC-36255_2021
Canada/BC-BCCDC-36299/2021	EPI_ISL_2498815	2021-01-18	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-36299_2021
Canada/BC-BCCDC-36343/2021	EPI_ISL_2498843	2021-01-29	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-36343_2021
Canada/BC-BCCDC-36349/2021	EPI_ISL_2498848	2021-01-12	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-36349_2021
Canada/BC-BCCDC-36444/2021	EPI_ISL_2498902	2021-01-06	British_Columbia	B.1.577	other	British_Columbia	other	Canada_BC-BCCDC-36444_2021
Canada/BC-BCCDC-36450/2021	EPI_ISL_2498907	2021-01-22	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-36450_2021
Canada/BC-BCCDC-36474/2021	EPI_ISL_2498931	2021-01-05	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-36474_2021
Canada/BC-BCCDC-36537/2021	EPI_ISL_2498982	2021-01-25	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-36537_2021
Canada/BC-BCCDC-36672/2021	EPI_ISL_2499079	2021-01-08	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-36672_2021
Canada/BC-BCCDC-37028/2021	EPI_ISL_2499312	2021-01-01	British_Columbia	B.1.351	Beta	British_Columbia	Beta	Canada_BC-BCCDC-37028_2021
Canada/BC-BCCDC-37104/2021	EPI_ISL_2499370	2021-01-02	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-37104_2021
Canada/BC-BCCDC-37356/2021	EPI_ISL_2499552	2021-01-23	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-37356_2021
Canada/BC-BCCDC-37364/2021	EPI_ISL_2499559	2021-01-16	British_Columbia	B.1.1.7	Alpha	British_Columbia	Alpha	Canada_BC-BCCDC-37364_2021
Canada/BC-BCCDC-37393/2020	EPI_ISL_2499582	2020-12-19	British_Columbia	B.1.438.1	B.1.438.1	British_Columbia	other	Canada_BC-BCCDC-37393_2020
Canada/BC-BCCDC-37446/2021	EPI_ISL_2499621	2021-01-07	British_Columbia	B.1.438.1	B.1.438.1	British_Columbia	other	Canada_BC-BCCDC-37446_2021
Canada/BC-BCCDC-37457/2020	EPI_ISL_2499631	2020-12-20	British_Columbia	B.1.36.36	other	British_Columbia	other	Canada_BC-BCCDC-37457_2020
Canada/BC-BCCDC-37485/2021	EPI_ISL_2499652	2021-01-15	British_Columbia	B.1.111	other	British_Columbia	other	Canada_BC-BCCDC-37485_2021
Canada/BC-BCCDC-37513/2021	EPI_ISL_2499675	2021-01-10	British_Columbia	B.1.36.36	other	British_Columbia	other	Canada_BC-BCCDC-37513_2021
Canada/QC-L00335906/2020	EPI_ISL_2499757	2020-10-28	Quebec	B.1.160	other	Quebec	other	Canada_QC-L00335906_2020
Canada/BC-BCCDC-12311/2020	EPI_ISL_2522120	2020-01-01	British_Columbia	A	other	British_Columbia	other	Canada_BC-BCCDC-12311_2020
Canada/BC-BCCDC-24861/2021	EPI_ISL_2522195	2021-02-28	British_Columbia	B.1.438.1	B.1.438.1	British_Columbia	other	Canada_BC-BCCDC-24861_2021
Canada/BC-BCCDC-25185/2021	EPI_ISL_2522415	2021-03-02	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-25185_2021
Canada/BC-BCCDC-25358/2021	EPI_ISL_2522527	2021-03-01	British_Columbia	B.1.36.36	other	British_Columbia	other	Canada_BC-BCCDC-25358_2021
Canada/BC-BCCDC-25579/2021	EPI_ISL_2522686	2021-02-27	British_Columbia	B.1.1.7	Alpha	British_Columbia	Alpha	Canada_BC-BCCDC-25579_2021
Canada/BC-BCCDC-26126/2021	EPI_ISL_2523018	2021-02-12	British_Columbia	B.1.36.36	other	British_Columbia	other	Canada_BC-BCCDC-26126_2021
Canada/BC-BCCDC-26376/2021	EPI_ISL_2523139	2021-02-16	British_Columbia	B.1.438.1	B.1.438.1	British_Columbia	other	Canada_BC-BCCDC-26376_2021
Canada/BC-BCCDC-26532/2021	EPI_ISL_2523255	2021-02-06	British_Columbia	B.1.36.36	other	British_Columbia	other	Canada_BC-BCCDC-26532_2021
Canada/BC-BCCDC-26859/2021	EPI_ISL_2523470	2021-02-23	British_Columbia	B.1.438.1	B.1.438.1	British_Columbia	other	Canada_BC-BCCDC-26859_2021
Canada/BC-BCCDC-27127/2021	EPI_ISL_2523703	2021-02-11	British_Columbia	B.1.1.244	other	British_Columbia	other	Canada_BC-BCCDC-27127_2021
Canada/BC-BCCDC-27220/2021	EPI_ISL_2523776	2021-02-05	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-27220_2021
Canada/BC-BCCDC-37691/2021	EPI_ISL_2523928	2021-02-01	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-37691_2021
Canada/BC-BCCDC-37716/2021	EPI_ISL_2523944	2021-01-17	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-37716_2021
Canada/BC-BCCDC-37725/2021	EPI_ISL_2523951	2021-01-20	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-37725_2021
Canada/BC-BCCDC-37797/2021	EPI_ISL_2524003	2021-01-31	British_Columbia	B.1.36.36	other	British_Columbia	other	Canada_BC-BCCDC-37797_2021
Canada/BC-BCCDC-37923/2021	EPI_ISL_2524084	2021-02-02	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-37923_2021
Canada/BC-BCCDC-38304/2021	EPI_ISL_2524256	2021-02-04	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-38304_2021
Canada/BC-BCCDC-38585/2021	EPI_ISL_2524333	2021-02-10	British_Columbia	P.2	other	British_Columbia	other	Canada_BC-BCCDC-38585_2021
Canada/BC-BCCDC-38697/2021	EPI_ISL_2524426	2021-02-09	British_Columbia	B.1.1.7	Alpha	British_Columbia	Alpha	Canada_BC-BCCDC-38697_2021
Canada/BC-BCCDC-38831/2021	EPI_ISL_2524551	2021-02-21	British_Columbia	B.1.1.7	Alpha	British_Columbia	Alpha	Canada_BC-BCCDC-38831_2021
Canada/BC-BCCDC-38923/2021	EPI_ISL_2524649	2021-02-19	British_Columbia	B.1.1.7	Alpha	British_Columbia	Alpha	Canada_BC-BCCDC-38923_2021
Canada/BC-BCCDC-39069/2021	EPI_ISL_2524805	2021-03-06	British_Columbia	B.1.2	other	British_Columbia	other	Canada_BC-BCCDC-39069_2021
Canada/BC-BCCDC-39114/2021	EPI_ISL_2524840	2021-03-08	British_Columbia	B.1.429	other	British_Columbia	other	Canada_BC-BCCDC-39114_2021
Canada/BC-BCCDC-39128/2021	EPI_ISL_2524855	2021-03-09	British_Columbia	P.2	other	British_Columbia	other	Canada_BC-BCCDC-39128_2021
Canada/BC-BCCDC-39309/2021	EPI_ISL_2525033	2021-03-04	British_Columbia	B.1.438.1	B.1.438.1	British_Columbia	other	Canada_BC-BCCDC-39309_2021
Canada/BC-BCCDC-39585/2021	EPI_ISL_2525432	2021-03-05	British_Columbia	B.1.1.7	Alpha	British_Columbia	Alpha	Canada_BC-BCCDC-39585_2021
Canada/BC-BCCDC-39606/2021	EPI_ISL_2525465	2021-03-03	British_Columbia	B.1.1.7	Alpha	British_Columbia	Alpha	Canada_BC-BCCDC-39606_2021
Canada/BC-BCCDC-44275/2021	EPI_ISL_2526459	2021-03-18	British_Columbia	B.1.1.7	Alpha	British_Columbia	Alpha	Canada_BC-BCCDC-44275_2021
Canada/BC-BCCDC-44971/2021	EPI_ISL_2527185	2021-03-13	British_Columbia	B.1.438.1	B.1.438.1	British_Columbia	other	Canada_BC-BCCDC-44971_2021
Canada/BC-BCCDC-45160/2021	EPI_ISL_2527327	2021-03-14	British_Columbia	B.1.1.7	Alpha	British_Columbia	Alpha	Canada_BC-BCCDC-45160_2021
Canada/BC-BCCDC-45185/2021	EPI_ISL_2527347	2021-03-12	British_Columbia	B.1.1.7	Alpha	British_Columbia	Alpha	Canada_BC-BCCDC-45185_2021
Canada/BC-BCCDC-45269/2021	EPI_ISL_2527423	2021-03-11	British_Columbia	B.1.1.7	Alpha	British_Columbia	Alpha	Canada_BC-BCCDC-45269_2021
Canada/BC-BCCDC-45409/2021	EPI_ISL_2527555	2021-03-10	British_Columbia	P.1.14	Gamma	British_Columbia	Gamma	Canada_BC-BCCDC-45409_2021
Canada/BC-BCCDC-49765/2021	EPI_ISL_2527903	2021-03-20	British_Columbia	B.1.438.1	B.1.438.1	British_Columbia	other	Canada_BC-BCCDC-49765_2021
Canada/BC-BCCDC-49951/2021	EPI_ISL_2528172	2021-03-16	British_Columbia	B.1.1.7	Alpha	British_Columbia	Alpha	Canada_BC-BCCDC-49951_2021
Canada/BC-BCCDC-50166/2021	EPI_ISL_2528557	2021-03-19	British_Columbia	P.1.14	Gamma	British_Columbia	Gamma	Canada_BC-BCCDC-50166_2021
Canada/BC-BCCDC-53483/2021	EPI_ISL_2529066	2021-02-26	British_Columbia	B.1.438.1	B.1.438.1	British_Columbia	other	Canada_BC-BCCDC-53483_2021
Canada/BC-BCCDC-53583/2021	EPI_ISL_2529224	2021-03-15	British_Columbia	B.1.438.1	B.1.438.1	British_Columbia	other	Canada_BC-BCCDC-53583_2021
Canada/BC-BCCDC-53614/2021	EPI_ISL_2529261	2021-03-17	British_Columbia	B.1.1.7	Alpha	British_Columbia	Alpha	Canada_BC-BCCDC-53614_2021
Canada/BC-BCCDC-54004/2021	EPI_ISL_2529638	2021-03-21	British_Columbia	P.1.14	Gamma	British_Columbia	Gamma	Canada_BC-BCCDC-54004_2021
Canada/BC-BCCDC-54195/2021	EPI_ISL_2529818	2021-03-22	British_Columbia	B.1.1.7	Alpha	British_Columbia	Alpha	Canada_BC-BCCDC-54195_2021
Canada/BC-BCCDC-54449/2021	EPI_ISL_2530066	2021-03-23	British_Columbia	P.1.14	Gamma	British_Columbia	Gamma	Canada_BC-BCCDC-54449_2021
Canada/BC-BCCDC-56140/2021	EPI_ISL_2531205	2021-03-26	British_Columbia	P.1.14	Gamma	British_Columbia	Gamma	Canada_BC-BCCDC-56140_2021
Canada/BC-BCCDC-56311/2021	EPI_ISL_2531365	2021-03-27	British_Columbia	P.1.14	Gamma	British_Columbia	Gamma	Canada_BC-BCCDC-56311_2021
Canada/BC-BCCDC-56657/2021	EPI_ISL_2531690	2021-03-28	British_Columbia	P.1.14	Gamma	British_Columbia	Gamma	Canada_BC-BCCDC-56657_2021
Canada/BC-BCCDC-56952/2021	EPI_ISL_2532002	2021-03-29	British_Columbia	B.1.1.7	Alpha	British_Columbia	Alpha	Canada_BC-BCCDC-56952_2021
Canada/BC-BCCDC-57177/2021	EPI_ISL_2532233	2021-03-25	British_Columbia	P.1.14	Gamma	British_Columbia	Gamma	Canada_BC-BCCDC-57177_2021
Canada/NB-NML-2333/2020	EPI_ISL_2550520	2020-10-12	New_Brunswick	B.1.416	other	New_Brunswick	other	Canada_NB-NML-2333_2020
Canada/NB-NML-2338/2020	EPI_ISL_2550521	2020-10-14	New_Brunswick	B.1.416	other	New_Brunswick	other	Canada_NB-NML-2338_2020
Canada/NB-NML-34129/2021	EPI_ISL_2550525	2021-03-31	New_Brunswick	B.1.1.7	Alpha	New_Brunswick	Alpha	Canada_NB-NML-34129_2021
Canada/NB-NML-34134/2021	EPI_ISL_2550529	2021-04-05	New_Brunswick	B.1.1.7	Alpha	New_Brunswick	Alpha	Canada_NB-NML-34134_2021
Canada/NB-NML-34141/2021	EPI_ISL_2550536	2021-04-06	New_Brunswick	B.1.351.3	Beta	New_Brunswick	Beta	Canada_NB-NML-34141_2021
Canada/NB-NML-34148/2021	EPI_ISL_2550541	2021-04-07	New_Brunswick	B.1.351.3	Beta	New_Brunswick	Beta	Canada_NB-NML-34148_2021
Canada/NB-NML-42071/2021	EPI_ISL_2550554	2021-04-08	New_Brunswick	B.1.1.7	Alpha	New_Brunswick	Alpha	Canada_NB-NML-42071_2021
Canada/NB-NML-42083/2021	EPI_ISL_2550564	2021-04-09	New_Brunswick	B.1.1.7	Alpha	New_Brunswick	Alpha	Canada_NB-NML-42083_2021
Canada/NB-NML-42085/2021	EPI_ISL_2550566	2021-01-09	New_Brunswick	B.1.1.7	Alpha	New_Brunswick	Alpha	Canada_NB-NML-42085_2021
Canada/NB-NML-42086/2021	EPI_ISL_2550567	2021-04-10	New_Brunswick	B.1.1.7	Alpha	New_Brunswick	Alpha	Canada_NB-NML-42086_2021
Canada/NB-NML-42259/2021	EPI_ISL_2550576	2021-04-11	New_Brunswick	B.1.1.7	Alpha	New_Brunswick	Alpha	Canada_NB-NML-42259_2021
Canada/NB-NML-42266/2021	EPI_ISL_2550583	2021-04-12	New_Brunswick	B.1.1.7	Alpha	New_Brunswick	Alpha	Canada_NB-NML-42266_2021
Canada/NB-NML-43550/2021	EPI_ISL_2550589	2021-04-14	New_Brunswick	B.1.1.7	Alpha	New_Brunswick	Alpha	Canada_NB-NML-43550_2021
Canada/NB-NML-43558/2021	EPI_ISL_2550592	2021-04-17	New_Brunswick	B.1.351	Beta	New_Brunswick	Beta	Canada_NB-NML-43558_2021
Canada/NB-NML-49154/2021	EPI_ISL_2550595	2021-04-16	New_Brunswick	B.1.1.7	Alpha	New_Brunswick	Alpha	Canada_NB-NML-49154_2021
Canada/NB-NML-49158/2021	EPI_ISL_2550599	2021-04-15	New_Brunswick	B.1.351.3	Beta	New_Brunswick	Beta	Canada_NB-NML-49158_2021
Canada/NB-NML-49159/2021	EPI_ISL_2550600	2021-04-19	New_Brunswick	B.1.351	Beta	New_Brunswick	Beta	Canada_NB-NML-49159_2021
Canada/NB-NML-49164/2021	EPI_ISL_2550604	2021-04-20	New_Brunswick	B.1.351.3	Beta	New_Brunswick	Beta	Canada_NB-NML-49164_2021
Canada/SK-NML-428/2020	EPI_ISL_2562916	2020-05-13	Saskatchewan	B.1.1	other	Saskatchewan	other	Canada_SK-NML-428_2020
Canada/SK-NML-429/2020	EPI_ISL_2562917	2020-05-11	Saskatchewan	B.1.1	other	Saskatchewan	other	Canada_SK-NML-429_2020
Canada/SK-NML-434/2020	EPI_ISL_2562920	2020-05-16	Saskatchewan	B.1.1	other	Saskatchewan	other	Canada_SK-NML-434_2020
Canada/SK-NML-443/2020	EPI_ISL_2562923	2020-05-20	Saskatchewan	B.1.1	other	Saskatchewan	other	Canada_SK-NML-443_2020
Canada/SK-NML-445/2020	EPI_ISL_2562925	2020-05-21	Saskatchewan	B.1.1	other	Saskatchewan	other	Canada_SK-NML-445_2020
Canada/SK-NML-449/2020	EPI_ISL_2562927	2020-05-26	Saskatchewan	B.1	other	Saskatchewan	other	Canada_SK-NML-449_2020
Canada/SK-NML-450/2020	EPI_ISL_2562928	2020-05-27	Saskatchewan	B.1.1	other	Saskatchewan	other	Canada_SK-NML-450_2020
Canada/SK-NML-452/2020	EPI_ISL_2562929	2020-04-17	Saskatchewan	B.1.1	other	Saskatchewan	other	Canada_SK-NML-452_2020
Canada/SK-NML-459/2020	EPI_ISL_2562932	2020-04-19	Saskatchewan	B.1.1	other	Saskatchewan	other	Canada_SK-NML-459_2020
Canada/SK-NML-460/2020	EPI_ISL_2562933	2020-04-21	Saskatchewan	B.1.1	other	Saskatchewan	other	Canada_SK-NML-460_2020
Canada/SK-NML-465/2020	EPI_ISL_2562937	2020-04-24	Saskatchewan	B.1.1	other	Saskatchewan	other	Canada_SK-NML-465_2020
Canada/SK-NML-470/2020	EPI_ISL_2562939	2020-04-25	Saskatchewan	B.1.1	other	Saskatchewan	other	Canada_SK-NML-470_2020
Canada/SK-NML-473/2020	EPI_ISL_2562941	2020-04-27	Saskatchewan	B.1.1	other	Saskatchewan	other	Canada_SK-NML-473_2020
Canada/SK-NML-481/2020	EPI_ISL_2562948	2020-04-26	Saskatchewan	B.1.1	other	Saskatchewan	other	Canada_SK-NML-481_2020
Canada/SK-NML-488/2020	EPI_ISL_2562952	2020-04-28	Saskatchewan	B.1.1	other	Saskatchewan	other	Canada_SK-NML-488_2020
Canada/SK-NML-496/2020	EPI_ISL_2562957	2020-03-21	Saskatchewan	B.1	other	Saskatchewan	other	Canada_SK-NML-496_2020
Canada/SK-NML-505/2020	EPI_ISL_2562965	2020-03-22	Saskatchewan	B.1	other	Saskatchewan	other	Canada_SK-NML-505_2020
Canada/SK-NML-506/2020	EPI_ISL_2562966	2020-03-23	Saskatchewan	B.1	other	Saskatchewan	other	Canada_SK-NML-506_2020
Canada/SK-NML-519/2020	EPI_ISL_2562975	2020-03-25	Saskatchewan	B.1	other	Saskatchewan	other	Canada_SK-NML-519_2020
Canada/SK-NML-529/2020	EPI_ISL_2562981	2020-03-26	Saskatchewan	B.1	other	Saskatchewan	other	Canada_SK-NML-529_2020
Canada/SK-NML-532/2020	EPI_ISL_2562983	2020-03-27	Saskatchewan	B.1	other	Saskatchewan	other	Canada_SK-NML-532_2020
Canada/SK-NML-1406/2020	EPI_ISL_2562986	2020-04-11	Saskatchewan	B.1.1	other	Saskatchewan	other	Canada_SK-NML-1406_2020
Canada/SK-NML-1409/2020	EPI_ISL_2562988	2020-08-26	Saskatchewan	B.1.36	other	Saskatchewan	other	Canada_SK-NML-1409_2020
Canada/SK-NML-1410/2020	EPI_ISL_2562989	2020-08-24	Saskatchewan	B.1.36	other	Saskatchewan	other	Canada_SK-NML-1410_2020
Canada/SK-NML-20908/2021	EPI_ISL_2563053	2021-03-08	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-20908_2021
Canada/SK-NML-20985/2021	EPI_ISL_2563108	2021-03-10	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-20985_2021
Canada/SK-NML-23762/2021	EPI_ISL_2563551	2021-03-18	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-23762_2021
Canada/SK-NML-23843/2021	EPI_ISL_2563617	2021-03-19	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-23843_2021
Canada/SK-NML-23930/2021	EPI_ISL_2563690	2021-03-20	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-23930_2021
Canada/SK-NML-30558/2021	EPI_ISL_2563796	2021-03-22	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-30558_2021
Canada/SK-NML-30661/2021	EPI_ISL_2563879	2021-03-23	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-30661_2021
Canada/SK-NML-30778/2021	EPI_ISL_2563966	2021-03-24	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-30778_2021
Canada/SK-NML-30900/2021	EPI_ISL_2564050	2021-03-26	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-30900_2021
Canada/SK-NML-30949/2021	EPI_ISL_2564084	2021-03-27	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-30949_2021
Canada/SK-NML-33949/2021	EPI_ISL_2564126	2021-03-31	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-33949_2021
Canada/SK-NML-34025/2021	EPI_ISL_2564161	2021-04-02	Saskatchewan	Q.8	other	Saskatchewan	other	Canada_SK-NML-34025_2021
Canada/SK-NML-34083/2021	EPI_ISL_2564193	2021-04-03	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-34083_2021
Canada/SK-NML-34086/2021	EPI_ISL_2564195	2021-04-01	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-34086_2021
Canada/SK-NML-48529/2021	EPI_ISL_2564255	2021-04-13	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-48529_2021
Canada/SK-NML-48717/2021	EPI_ISL_2564323	2021-04-15	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-48717_2021
Canada/SK-NML-49038/2021	EPI_ISL_2564575	2021-04-07	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-49038_2021
Canada/SK-NML-55347/2021	EPI_ISL_2564714	2021-04-19	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-55347_2021
Canada/SK-NML-55424/2021	EPI_ISL_2564778	2021-04-20	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-55424_2021
Canada/SK-NML-55560/2021	EPI_ISL_2564885	2021-04-08	Saskatchewan	B.1.1.7	Alpha	Saskatchewan	Alpha	Canada_SK-NML-55560_2021
Canada/SK-NML-59888/2021	EPI_ISL_2564997	2021-04-18	Saskatchewan	Q.8	other	Saskatchewan	other	Canada_SK-NML-59888_2021
Canada/SK-NML-44/2020	EPI_ISL_2565083	2020-03-15	Saskatchewan	B.1	other	Saskatchewan	other	Canada_SK-NML-44_2020
