EPI	Date	GISAID	Location	Variant
EPI_ISL_2714341|Canada|AY.32	2021-05-15	hCoV-19/Canada/ON-PHL-21-21182/2021	Canada	AY.32
EPI_ISL_2714347|Canada|AY.99.2	2021-05-16	hCoV-19/Canada/ON-PHL-21-21188/2021	Canada	AY.99.2
EPI_ISL_2714366|Canada|A.2.5	2021-05-18	hCoV-19/Canada/ON-PHL-21-21210/2021	Canada	A.2.5
EPI_ISL_2714389|Canada|B.1.1.7	2021-05-09	hCoV-19/Canada/ON-PHL-21-21236/2021	Canada	B.1.1.7
EPI_ISL_2714479|Canada|B.1.564.1	2021-05-01	hCoV-19/Canada/ON-PHL-21-21344/2021	Canada	B.1.564.1
EPI_ISL_2714481|Canada|B.1.160	2021-05-01	hCoV-19/Canada/ON-PHL-21-21346/2021	Canada	B.1.160
EPI_ISL_2718842|Canada|R.1	2021-04-02	hCoV-19/Canada/BC-BCCDC-58146/2021	Canada	R.1
EPI_ISL_2718879|Canada|B.1.351	2021-04-04	hCoV-19/Canada/BC-BCCDC-58216/2021	Canada	B.1.351
EPI_ISL_2719104|Canada|P.1.14	2021-04-25	hCoV-19/Canada/BC-BCCDC-76149/2021	Canada	P.1.14
EPI_ISL_2719186|Canada|P.1.17	2021-04-26	hCoV-19/Canada/BC-BCCDC-76253/2021	Canada	P.1.17
EPI_ISL_2719389|Canada|AY.55	2021-04-23	hCoV-19/Canada/BC-BCCDC-77098/2021	Canada	AY.55
EPI_ISL_2719436|Canada|P.1.10	2021-04-24	hCoV-19/Canada/BC-BCCDC-77218/2021	Canada	P.1.10
EPI_ISL_2719550|Canada|AZ.1	2021-04-26	hCoV-19/Canada/BC-BCCDC-77375/2021	Canada	AZ.1
EPI_ISL_2719883|Canada|AY.120.1	2021-04-28	hCoV-19/Canada/BC-BCCDC-77794/2021	Canada	AY.120.1
EPI_ISL_2720560|Canada|B.1.1.519	2021-04-16	hCoV-19/Canada/BC-BCCDC-78527/2021	Canada	B.1.1.519
EPI_ISL_2720595|Canada|B.1.637	2021-04-26	hCoV-19/Canada/BC-BCCDC-78574/2021	Canada	B.1.637
EPI_ISL_2720698|Canada|B.1.36.22	2021-05-03	hCoV-19/Canada/BC-BCCDC-78701/2021	Canada	B.1.36.22
EPI_ISL_2720797|Canada|B.1.1.7	2021-04-22	hCoV-19/Canada/BC-BCCDC-78820/2021	Canada	B.1.1.7
EPI_ISL_2721104|Canada|A.23.1	2021-03-28	hCoV-19/Canada/BC-BCCDC-79188/2021	Canada	A.23.1
EPI_ISL_2721113|Canada|B.1.438	2021-03-30	hCoV-19/Canada/BC-BCCDC-79199/2021	Canada	B.1.438
EPI_ISL_2721571|Canada|B.1.617.1	2021-05-12	hCoV-19/Canada/BC-BCCDC-87353/2021	Canada	B.1.617.1
EPI_ISL_2821333|Canada|B.1.1.70	2021-01-07	hCoV-19/Canada/QC-1nIID-U10730102D/2021	Canada	B.1.1.70
EPI_ISL_2821441|Canada|B.1.2	2021-01-15	hCoV-19/Canada/QC-1nIOU-A5154881/2021	Canada	B.1.2
EPI_ISL_2821484|Canada|B.1.1.351	2021-01-26	hCoV-19/Canada/QC-1nDJXP-0043058833/2021	Canada	B.1.1.351
EPI_ISL_2821564|Canada|B.1.561	2021-01-03	hCoV-19/Canada/QC-1nIUM-U1030661/2021	Canada	B.1.561
EPI_ISL_2821570|Canada|B.1.1.294	2021-01-02	hCoV-19/Canada/QC-1nIUM-U1020954/2021	Canada	B.1.1.294
EPI_ISL_2821648|Canada|B.1.1.157	2020-12-28	hCoV-19/Canada/QC-1nDJXP-0042902600/2020	Canada	B.1.1.157
EPI_ISL_2821946|Canada|B.1.221	2021-01-28	hCoV-19/Canada/QC-1nDJXQ-Q5281706C2/2021	Canada	B.1.221
EPI_ISL_2821948|Canada|AB.1	2021-01-28	hCoV-19/Canada/QC-1nDJXQ-Q5282240C2/2021	Canada	AB.1
EPI_ISL_2821961|Canada|B.1.36.31	2021-02-02	hCoV-19/Canada/QC-1nKGZ-R8021307/2021	Canada	B.1.36.31
EPI_ISL_2822006|Canada|B.1.429	2021-01-02	hCoV-19/Canada/QC-1nIUM-U1020931/2021	Canada	B.1.429
EPI_ISL_2822061|Canada|B.1.1.222	2020-12-21	hCoV-19/Canada/QC-1nDJXP-0046535239/2020	Canada	B.1.1.222
EPI_ISL_2822064|Canada|B.1.1.420	2021-01-28	hCoV-19/Canada/QC-1nDJXP-0043070474/2021	Canada	B.1.1.420
EPI_ISL_2822230|Canada|C.36.1	2020-10-13	hCoV-19/Canada/QC-1nIUH-5524143471/2020	Canada	C.36.1
EPI_ISL_2822439|Canada|AY.124	2021-06-10	hCoV-19/Canada/ON-PHL-21-21170/2021	Canada	AY.124
EPI_ISL_2822717|Canada|AY.10	2021-06-12	hCoV-19/Canada/ON-PHL-21-21715/2021	Canada	AY.10
EPI_ISL_2822753|Canada|AY.122	2021-06-13	hCoV-19/Canada/ON-PHL-21-21753/2021	Canada	AY.122
EPI_ISL_2822957|Canada|B.1.351	2021-05-01	hCoV-19/Canada/ON-PHL-21-22080/2021	Canada	B.1.351
EPI_ISL_2822985|Canada|AY.46	2021-06-16	hCoV-19/Canada/ON-PHL-21-22114/2021	Canada	AY.46
EPI_ISL_2823059|Canada|AY.5.3	2021-06-18	hCoV-19/Canada/ON-PHL-21-22193/2021	Canada	AY.5.3
EPI_ISL_2823264|Canada|AY.25.1	2021-06-18	hCoV-19/Canada/ON-PHL-21-22418/2021	Canada	AY.25.1
EPI_ISL_2823363|Canada|P.1.17	2021-05-21	hCoV-19/Canada/ON-PHL-21-22528/2021	Canada	P.1.17
EPI_ISL_2823373|Canada|C.37	2021-06-18	hCoV-19/Canada/ON-PHL-21-22716/2021	Canada	C.37
EPI_ISL_2823375|Canada|AY.116	2021-06-18	hCoV-19/Canada/ON-PHL-21-22718/2021	Canada	AY.116
EPI_ISL_2823454|Canada|AZ.1	2021-06-16	hCoV-19/Canada/ON-PHL-21-22803/2021	Canada	AZ.1
EPI_ISL_2823456|Canada|B.1.415.1	2021-06-20	hCoV-19/Canada/ON-PHL-21-22805/2021	Canada	B.1.415.1
EPI_ISL_2823545|Canada|A.21	2021-01-12	hCoV-19/Canada/QC-1nMCY-S9122635/2021	Canada	A.21
EPI_ISL_2823729|Canada|B.1.1.157	2021-03-04	hCoV-19/Canada/ON-UHTC_0516/2021	Canada	B.1.1.157
EPI_ISL_2823778|Canada|B.1.36.31	2021-01-20	hCoV-19/Canada/QC-1nIUH-5524267169/2021	Canada	B.1.36.31
EPI_ISL_2823795|Canada|B.1.1.157	2021-02-03	hCoV-19/Canada/QC-1nDJXP-8143104737/2021	Canada	B.1.1.157
EPI_ISL_2823820|Canada|B.1.543	2021-02-03	hCoV-19/Canada/QC-1nDJXQ-Q6032562C2/2021	Canada	B.1.543
EPI_ISL_2823860|Canada|B.1.8	2021-01-27	hCoV-19/Canada/QC-1nIUM-U1272108/2021	Canada	B.1.8
EPI_ISL_2823953|Canada|B.1.1.192	2021-02-14	hCoV-19/Canada/QC-1nDJXP-8146729706/2021	Canada	B.1.1.192
EPI_ISL_2823978|Canada|B.1.561	2021-02-08	hCoV-19/Canada/QC-1nDJXQ-Q6081177C2/2021	Canada	B.1.561
EPI_ISL_2824108|Canada|B.1.505	2021-01-11	hCoV-19/Canada/QC-1nSKP-0636210306/2021	Canada	B.1.505
EPI_ISL_2824239|Canada|B.1.36	2021-02-08	hCoV-19/Canada/QC-1nIRE-U20815659Q/2021	Canada	B.1.36
EPI_ISL_2824262|Canada|B.1.1.348	2021-02-21	hCoV-19/Canada/QC-1nIOU-A6210950/2021	Canada	B.1.1.348
EPI_ISL_2824272|Canada|C.36.1	2021-02-23	hCoV-19/Canada/QC-1nIOU-A6232962/2021	Canada	C.36.1
EPI_ISL_2824287|Canada|B.1.36.7	2021-02-22	hCoV-19/Canada/QC-1nDJXQ-Q6221969/2021	Canada	B.1.36.7
EPI_ISL_2824502|Canada|B.1.36.18	2021-02-15	hCoV-19/Canada/QC-1nMCY-T0154472/2021	Canada	B.1.36.18
EPI_ISL_2824649|Canada|B.1.234	2021-01-26	hCoV-19/Canada/QC-1nIEOQ-7051631732/2021	Canada	B.1.234
EPI_ISL_2824731|Canada|B.1.2	2021-02-04	hCoV-19/Canada/QC-1nJWFTV-8143108065/2021	Canada	B.1.2
EPI_ISL_2824737|Canada|B.1.593	2021-02-14	hCoV-19/Canada/QC-1nJWFTV-8143163302/2021	Canada	B.1.593
EPI_ISL_2824864|Canada|B.1.609	2021-01-29	hCoV-19/Canada/QC-1nIUH-5524278925/2021	Canada	B.1.609
EPI_ISL_2824885|Canada|B.1.405	2020-11-23	hCoV-19/Canada/QC-1nIUH-5524193050/2020	Canada	B.1.405
EPI_ISL_2824886|Canada|B.1.595	2020-11-23	hCoV-19/Canada/QC-1nIUH-5524193084/2020	Canada	B.1.595
EPI_ISL_2824887|Canada|B.1.1.329	2020-11-24	hCoV-19/Canada/QC-1nIUH-5524194157/2020	Canada	B.1.1.329
EPI_ISL_2824892|Canada|AM.4	2020-11-23	hCoV-19/Canada/QC-1nIUH-5524193011/2020	Canada	AM.4
EPI_ISL_2835584|Canada|B.1.1.7	2021-04-30	hCoV-19/Canada/NS-NML-94522/2021	Canada	B.1.1.7
EPI_ISL_2835590|Canada|P.1.14	2021-05-09	hCoV-19/Canada/NS-NML-94529/2021	Canada	P.1.14
EPI_ISL_2859492|Canada|B.1.1	2021-04-04	hCoV-19/Canada/QC-L00344396/2021	Canada	B.1.1
EPI_ISL_2883088|Canada|B.1.1	2020-09-29	hCoV-19/Canada/SK-NML-1587/2020	Canada	B.1.1
EPI_ISL_2883101|Canada|B.1.1.216	2020-10-10	hCoV-19/Canada/SK-NML-16546/2020	Canada	B.1.1.216
EPI_ISL_2883103|Canada|B.1.1.316	2021-01-10	hCoV-19/Canada/SK-NML-16549/2021	Canada	B.1.1.316
EPI_ISL_2883166|Canada|B.1.1	2021-01-14	hCoV-19/Canada/SK-NML-16840/2021	Canada	B.1.1
EPI_ISL_2883181|Canada|B.1.438.1	2020-11-20	hCoV-19/Canada/SK-NML-16857/2020	Canada	B.1.438.1
EPI_ISL_2883244|Canada|P.3	2021-02-09	hCoV-19/Canada/SK-NML-16929/2021	Canada	P.3
EPI_ISL_2883272|Canada|B.1.438.1	2021-01-29	hCoV-19/Canada/SK-NML-17037/2021	Canada	B.1.438.1
EPI_ISL_2883275|Canada|B.1.36	2021-01-27	hCoV-19/Canada/SK-NML-17040/2021	Canada	B.1.36
EPI_ISL_2883282|Canada|AE.8	2020-12-02	hCoV-19/Canada/SK-NML-17047/2020	Canada	AE.8
EPI_ISL_2883357|Canada|B.1.160	2021-01-14	hCoV-19/Canada/SK-NML-17126/2021	Canada	B.1.160
EPI_ISL_2883377|Canada|B.1	2020-11-02	hCoV-19/Canada/SK-NML-17199/2020	Canada	B.1
EPI_ISL_2883378|Canada|AE.8	2020-11-05	hCoV-19/Canada/SK-NML-17201/2020	Canada	AE.8
EPI_ISL_2883379|Canada|B.1.2	2020-11-04	hCoV-19/Canada/SK-NML-17202/2020	Canada	B.1.2
EPI_ISL_2883383|Canada|B.1.234	2020-11-22	hCoV-19/Canada/SK-NML-17210/2020	Canada	B.1.234
EPI_ISL_2883385|Canada|B.1.139	2020-11-26	hCoV-19/Canada/SK-NML-17214/2020	Canada	B.1.139
EPI_ISL_2883386|Canada|B.1.240	2020-11-25	hCoV-19/Canada/SK-NML-17215/2020	Canada	B.1.240
EPI_ISL_2883387|Canada|B.1.36	2020-11-28	hCoV-19/Canada/SK-NML-17216/2020	Canada	B.1.36
EPI_ISL_2883388|Canada|B.1.609	2020-11-29	hCoV-19/Canada/SK-NML-17217/2020	Canada	B.1.609
EPI_ISL_2883393|Canada|B.1.551	2020-12-11	hCoV-19/Canada/SK-NML-17224/2020	Canada	B.1.551
EPI_ISL_2883394|Canada|B.1.1	2020-12-31	hCoV-19/Canada/SK-NML-17225/2020	Canada	B.1.1
EPI_ISL_2883399|Canada|B.1.609	2021-02-02	hCoV-19/Canada/SK-NML-17298/2021	Canada	B.1.609
EPI_ISL_2883400|Canada|AE.8	2021-02-04	hCoV-19/Canada/SK-NML-17299/2021	Canada	AE.8
EPI_ISL_2883413|Canada|B.1.1.356	2021-01-29	hCoV-19/Canada/SK-NML-17315/2021	Canada	B.1.1.356
EPI_ISL_2883416|Canada|B.1.438.1	2020-12-29	hCoV-19/Canada/SK-NML-17319/2020	Canada	B.1.438.1
EPI_ISL_2883423|Canada|B.1.1	2020-11-25	hCoV-19/Canada/SK-NML-17327/2020	Canada	B.1.1
EPI_ISL_2883448|Canada|B.1.369	2021-01-30	hCoV-19/Canada/SK-NML-17356/2021	Canada	B.1.369
EPI_ISL_2883449|Canada|B.1.404	2021-01-29	hCoV-19/Canada/SK-NML-17357/2021	Canada	B.1.404
EPI_ISL_2883493|Canada|B.1.1.157	2020-08-08	hCoV-19/Canada/SK-NML-17407/2020	Canada	B.1.1.157
EPI_ISL_2883494|Canada|B.1.128	2020-09-10	hCoV-19/Canada/SK-NML-17408/2020	Canada	B.1.128
EPI_ISL_2883544|Canada|Q.8	2021-02-16	hCoV-19/Canada/SK-NML-17804/2021	Canada	Q.8
EPI_ISL_2883570|Canada|B.1.349	2020-12-22	hCoV-19/Canada/SK-NML-17832/2020	Canada	B.1.349
EPI_ISL_2883579|Canada|B.1.349	2021-01-18	hCoV-19/Canada/SK-NML-17841/2021	Canada	B.1.349
EPI_ISL_2883600|Canada|B.1.243	2020-10-27	hCoV-19/Canada/SK-NML-2725/2020	Canada	B.1.243
EPI_ISL_2883604|Canada|B.1.36.36	2020-09-05	hCoV-19/Canada/SK-NML-3132/2020	Canada	B.1.36.36
EPI_ISL_2883605|Canada|B.1.1.306	2020-09-09	hCoV-19/Canada/SK-NML-3133/2020	Canada	B.1.1.306
EPI_ISL_2883606|Canada|B.1	2020-09-10	hCoV-19/Canada/SK-NML-3134/2020	Canada	B.1
EPI_ISL_2883607|Canada|B.1.36	2020-09-21	hCoV-19/Canada/SK-NML-3135/2020	Canada	B.1.36
EPI_ISL_2883609|Canada|B.1.2	2020-12-16	hCoV-19/Canada/SK-NML-3140/2020	Canada	B.1.2
EPI_ISL_2883613|Canada|B.1.36.34	2020-12-26	hCoV-19/Canada/SK-NML-5132/2020	Canada	B.1.36.34
EPI_ISL_2883616|Canada|B.1.609	2021-01-05	hCoV-19/Canada/SK-NML-5592/2021	Canada	B.1.609
EPI_ISL_2883624|Canada|B.1.349	2020-11-30	hCoV-19/Canada/SK-NML-5601/2020	Canada	B.1.349
EPI_ISL_2883631|Canada|B.1.609	2020-12-26	hCoV-19/Canada/SK-NML-5809/2020	Canada	B.1.609
EPI_ISL_2883647|Canada|B.1.429	2020-12-12	hCoV-19/Canada/SK-NML-5829/2020	Canada	B.1.429
EPI_ISL_2883650|Canada|B.1.582	2020-12-10	hCoV-19/Canada/SK-NML-5832/2020	Canada	B.1.582
EPI_ISL_2883652|Canada|B.1.1	2020-06-10	hCoV-19/Canada/SK-NML-660/2020	Canada	B.1.1
EPI_ISL_2883656|Canada|B.1.1.294	2020-06-11	hCoV-19/Canada/SK-NML-666/2020	Canada	B.1.1.294
EPI_ISL_2883698|Canada|B.1.1.286	2020-06-04	hCoV-19/Canada/SK-NML-686/2020	Canada	B.1.1.286
EPI_ISL_2883699|Canada|B.1.1.1	2020-06-05	hCoV-19/Canada/SK-NML-687/2020	Canada	B.1.1.1
EPI_ISL_2883706|Canada|B.1.279	2020-06-11	hCoV-19/Canada/SK-NML-696/2020	Canada	B.1.279
EPI_ISL_2883716|Canada|B.1.1.25	2020-06-14	hCoV-19/Canada/SK-NML-710/2020	Canada	B.1.1.25
EPI_ISL_2883733|Canada|C.8	2020-06-18	hCoV-19/Canada/SK-NML-732/2020	Canada	C.8
EPI_ISL_2883756|Canada|B.1.1.7	2021-01-18	hCoV-19/Canada/SK-NML-8757/2021	Canada	B.1.1.7
EPI_ISL_2883759|Canada|B.1.243	2021-01-02	hCoV-19/Canada/SK-NML-8804/2021	Canada	B.1.243
EPI_ISL_2883760|Canada|B.1.36.31	2021-01-07	hCoV-19/Canada/SK-NML-8805/2021	Canada	B.1.36.31
EPI_ISL_2883765|Canada|B.1.1.141	2020-10-11	hCoV-19/Canada/SK-NML-8811/2020	Canada	B.1.1.141
EPI_ISL_2883770|Canada|B.1.1	2020-10-10	hCoV-19/Canada/SK-NML-8817/2020	Canada	B.1.1
EPI_ISL_2889382|Canada|AY.18	2021-05-24	hCoV-19/Canada/SK-NML-89214/2021	Canada	AY.18
EPI_ISL_2889408|Canada|Q.1	2021-05-27	hCoV-19/Canada/SK-NML-94129/2021	Canada	Q.1
EPI_ISL_2889416|Canada|AY.86	2021-05-27	hCoV-19/Canada/SK-NML-94141/2021	Canada	AY.86
EPI_ISL_2889567|Canada|AY.93	2021-05-27	hCoV-19/Canada/SK-NML-94323/2021	Canada	AY.93
EPI_ISL_2889580|Canada|AY.10	2021-05-27	hCoV-19/Canada/SK-NML-94336/2021	Canada	AY.10
EPI_ISL_2889669|Canada|B.1.1.7	2021-06-01	hCoV-19/Canada/SK-NML-94448/2021	Canada	B.1.1.7
EPI_ISL_2889782|Canada|B.1.438.1	2021-06-03	hCoV-19/Canada/SK-NML-94706/2021	Canada	B.1.438.1
EPI_ISL_2922328|Canada|C.36	2021-04-27	hCoV-19/Canada/ON-PHL-21-22639/2021	Canada	C.36
EPI_ISL_2922396|Canada|AY.46.4	2021-06-17	hCoV-19/Canada/ON-PHL-21-22891/2021	Canada	AY.46.4
EPI_ISL_2922510|Canada|AY.74	2021-06-19	hCoV-19/Canada/ON-PHL-21-23099/2021	Canada	AY.74
EPI_ISL_2922540|Canada|AY.27	2021-04-20	hCoV-19/Canada/ON-PHL-21-23130/2021	Canada	AY.27
EPI_ISL_2922542|Canada|B.1.438.1	2021-04-20	hCoV-19/Canada/ON-PHL-21-23133/2021	Canada	B.1.438.1
EPI_ISL_2922551|Canada|P.1	2021-06-24	hCoV-19/Canada/ON-PHL-21-23286/2021	Canada	P.1
EPI_ISL_2922573|Canada|B.1.427	2021-04-25	hCoV-19/Canada/ON-PHL-21-23310/2021	Canada	B.1.427
EPI_ISL_2922574|Canada|B.1.1.487	2021-04-25	hCoV-19/Canada/ON-PHL-21-23311/2021	Canada	B.1.1.487
EPI_ISL_2922630|Canada|AY.40	2021-06-22	hCoV-19/Canada/ON-PHL-21-23374/2021	Canada	AY.40
EPI_ISL_2922682|Canada|B.1.619	2021-05-19	hCoV-19/Canada/ON-PHL-21-23427/2021	Canada	B.1.619
EPI_ISL_2922739|Canada|AY.37	2021-06-25	hCoV-19/Canada/ON-PHL-21-23492/2021	Canada	AY.37
EPI_ISL_2922833|Canada|AY.53	2021-06-23	hCoV-19/Canada/ON-PHL-21-23612/2021	Canada	AY.53
EPI_ISL_2922935|Canada|B.1.617.1	2021-05-29	hCoV-19/Canada/ON-PHL-21-23722/2021	Canada	B.1.617.1
EPI_ISL_2922990|Canada|AY.19	2021-06-26	hCoV-19/Canada/ON-PHL-21-23780/2021	Canada	AY.19
EPI_ISL_2938483|Canada|B.1.525	2021-06-10	hCoV-19/Canada/AB-ABPHL-19332/2021	Canada	B.1.525
EPI_ISL_2938489|Canada|B.1.429	2021-06-10	hCoV-19/Canada/AB-ABPHL-19340/2021	Canada	B.1.429
EPI_ISL_2938657|Canada|A.2.5.2	2021-06-10	hCoV-19/Canada/AB-ABPHL-19589/2021	Canada	A.2.5.2
EPI_ISL_2938660|Canada|B.1.526	2021-06-10	hCoV-19/Canada/AB-ABPHL-19592/2021	Canada	B.1.526
EPI_ISL_2938926|Canada|B.1.36	2021-06-14	hCoV-19/Canada/AB-ABPHL-19984/2021	Canada	B.1.36
EPI_ISL_2938976|Canada|AY.4	2021-06-15	hCoV-19/Canada/AB-ABPHL-20136/2021	Canada	AY.4
EPI_ISL_2939007|Canada|AY.122	2021-06-15	hCoV-19/Canada/AB-ABPHL-20174/2021	Canada	AY.122
EPI_ISL_2939168|Canada|B.1.617.2	2021-06-17	hCoV-19/Canada/AB-ABPHL-20299/2021	Canada	B.1.617.2
EPI_ISL_2939180|Canada|AY.15	2021-06-17	hCoV-19/Canada/AB-ABPHL-20311/2021	Canada	AY.15
EPI_ISL_2939183|Canada|B.1.2	2021-06-17	hCoV-19/Canada/AB-ABPHL-20314/2021	Canada	B.1.2
EPI_ISL_2939206|Canada|AE.8	2021-06-17	hCoV-19/Canada/AB-ABPHL-20340/2021	Canada	AE.8
EPI_ISL_2939475|Canada|B.1.351.3	2021-06-21	hCoV-19/Canada/AB-ABPHL-20738/2021	Canada	B.1.351.3
EPI_ISL_2939488|Canada|B.1.1.519	2021-06-21	hCoV-19/Canada/AB-ABPHL-20751/2021	Canada	B.1.1.519
EPI_ISL_2939492|Canada|B.1.1	2021-06-21	hCoV-19/Canada/AB-ABPHL-20755/2021	Canada	B.1.1
EPI_ISL_2939512|Canada|C.37	2021-06-21	hCoV-19/Canada/AB-ABPHL-20778/2021	Canada	C.37
EPI_ISL_2939518|Canada|B.1.438.1	2021-06-21	hCoV-19/Canada/AB-ABPHL-20784/2021	Canada	B.1.438.1
EPI_ISL_2939530|Canada|AY.74	2021-06-21	hCoV-19/Canada/AB-ABPHL-20796/2021	Canada	AY.74
EPI_ISL_2939696|Canada|AY.18	2021-06-21	hCoV-19/Canada/AB-ABPHL-20983/2021	Canada	AY.18
EPI_ISL_2939773|Canada|Q.1	2021-06-22	hCoV-19/Canada/AB-ABPHL-21085/2021	Canada	Q.1
EPI_ISL_2940041|Canada|B.1.1.7	2021-06-23	hCoV-19/Canada/AB-ABPHL-21547/2021	Canada	B.1.1.7
EPI_ISL_2940089|Canada|B.1.1.519	2021-05-06	hCoV-19/Canada/AB-ABPHL-18325/2021	Canada	B.1.1.519
EPI_ISL_2940105|Canada|AY.93	2021-05-07	hCoV-19/Canada/AB-ABPHL-18349/2021	Canada	AY.93
EPI_ISL_2940114|Canada|AY.27	2021-05-09	hCoV-19/Canada/AB-ABPHL-18360/2021	Canada	AY.27
EPI_ISL_2940178|Canada|Q.8	2021-03-29	hCoV-19/Canada/AB-ABPHL-17893/2021	Canada	Q.8
EPI_ISL_2940421|Canada|B.1.526	2021-05-13	hCoV-19/Canada/AB-ABPHL-17722/2021	Canada	B.1.526
EPI_ISL_2940430|Canada|AZ.6	2021-05-13	hCoV-19/Canada/AB-ABPHL-17732/2021	Canada	AZ.6
EPI_ISL_2940437|Canada|B.1.438.1	2021-05-12	hCoV-19/Canada/AB-ABPHL-17744/2021	Canada	B.1.438.1
EPI_ISL_2940467|Canada|B.1.617.2	2021-05-09	hCoV-19/Canada/AB-ABPHL-19240/2021	Canada	B.1.617.2
EPI_ISL_2940526|Canada|AY.10	2021-05-17	hCoV-19/Canada/AB-ABPHL-19316/2021	Canada	AY.10
EPI_ISL_2940527|Canada|B.1.36	2021-05-17	hCoV-19/Canada/AB-ABPHL-19318/2021	Canada	B.1.36
EPI_ISL_2940589|Canada|Q.8	2021-05-19	hCoV-19/Canada/AB-ABPHL-18453/2021	Canada	Q.8
EPI_ISL_2940644|Canada|AY.127	2021-05-10	hCoV-19/Canada/AB-ABPHL-19100/2021	Canada	AY.127
EPI_ISL_2940762|Canada|A.23.1	2021-05-01	hCoV-19/Canada/AB-ABPHL-17351/2021	Canada	A.23.1
EPI_ISL_2940763|Canada|AY.122	2021-04-28	hCoV-19/Canada/AB-ABPHL-17356/2021	Canada	AY.122
EPI_ISL_2940764|Canada|B.1.617.2	2021-04-28	hCoV-19/Canada/AB-ABPHL-17357/2021	Canada	B.1.617.2
EPI_ISL_2940787|Canada|B.1.429	2021-05-18	hCoV-19/Canada/AB-ABPHL-18565/2021	Canada	B.1.429
EPI_ISL_2940791|Canada|AY.102	2021-05-21	hCoV-19/Canada/AB-ABPHL-18569/2021	Canada	AY.102
EPI_ISL_2940878|Canada|B.1.620	2021-05-06	hCoV-19/Canada/AB-ABPHL-18204/2021	Canada	B.1.620
EPI_ISL_2940906|Canada|AY.74	2021-05-07	hCoV-19/Canada/AB-ABPHL-18232/2021	Canada	AY.74
EPI_ISL_2940928|Canada|B.1	2021-05-07	hCoV-19/Canada/AB-ABPHL-18255/2021	Canada	B.1
EPI_ISL_2940950|Canada|B.1.221	2021-03-13	hCoV-19/Canada/AB-ABPHL-17993/2021	Canada	B.1.221
EPI_ISL_2941042|Canada|B.1.351.3	2021-05-12	hCoV-19/Canada/AB-ABPHL-18664/2021	Canada	B.1.351.3
EPI_ISL_2941063|Canada|B.1.1	2021-04-15	hCoV-19/Canada/AB-ABPHL-18685/2021	Canada	B.1.1
EPI_ISL_2941097|Canada|A.2.5.2	2021-05-14	hCoV-19/Canada/AB-ABPHL-18720/2021	Canada	A.2.5.2
EPI_ISL_2941109|Canada|AY.15	2021-05-14	hCoV-19/Canada/AB-ABPHL-18732/2021	Canada	AY.15
EPI_ISL_2941121|Canada|AY.18	2021-05-15	hCoV-19/Canada/AB-ABPHL-18745/2021	Canada	AY.18
EPI_ISL_2941193|Canada|C.37	2021-02-24	hCoV-19/Canada/AB-ABPHL-17863/2021	Canada	C.37
EPI_ISL_2941206|Canada|C.37	2021-05-09	hCoV-19/Canada/AB-ABPHL-17879/2021	Canada	C.37
EPI_ISL_2941289|Canada|AY.10	2021-04-19	hCoV-19/Canada/AB-ABPHL-18836/2021	Canada	AY.10
EPI_ISL_2941461|Canada|AM.4	2021-04-10	hCoV-19/Canada/AB-ABPHL-17417/2021	Canada	AM.4
EPI_ISL_2941499|Canada|B.1	2021-04-20	hCoV-19/Canada/AB-ABPHL-18522/2021	Canada	B.1
EPI_ISL_2969664|Canada|B.1.1.10	2020-09-12	hCoV-19/Canada/QC-1nIOU-A1121119/2020	Canada	B.1.1.10
EPI_ISL_2969713|Canada|B.1.1	2020-09-12	hCoV-19/Canada/QC-1nIOU-A1121004/2020	Canada	B.1.1
EPI_ISL_2969742|Canada|B.1.438.1	2021-02-15	hCoV-19/Canada/QC-1nIOU-A6154715/2021	Canada	B.1.438.1
EPI_ISL_2969806|Canada|B.1.160	2021-02-25	hCoV-19/Canada/QC-1nSKP-8143245814/2021	Canada	B.1.160
EPI_ISL_2969841|Canada|B.1.1.351	2021-03-27	hCoV-19/Canada/QC-1nDJXP-8143421033/2021	Canada	B.1.1.351
EPI_ISL_2970135|Canada|B.1.1.25	2021-01-04	hCoV-19/Canada/QC-1nIFO-S9041185IA/2021	Canada	B.1.1.25
EPI_ISL_2970137|Canada|B.1.1.157	2021-01-04	hCoV-19/Canada/QC-1nIFO-S9041106IA/2021	Canada	B.1.1.157
EPI_ISL_2970199|Canada|B.1.36.29	2021-01-30	hCoV-19/Canada/QC-1nIUX-Q5300751CO/2021	Canada	B.1.36.29
EPI_ISL_2970202|Canada|B.1.409	2021-01-31	hCoV-19/Canada/QC-1nIUX-Q5310413CO/2021	Canada	B.1.409
EPI_ISL_2970264|Canada|B.1.1.176	2021-02-12	hCoV-19/Canada/QC-1nIEOQ-7051673965/2021	Canada	B.1.1.176
EPI_ISL_2970452|Canada|AM.4	2020-12-21	hCoV-19/Canada/QC-1nDJXQ-2035605515A/2020	Canada	AM.4
EPI_ISL_2970515|Canada|B.1.1.25	2020-12-26	hCoV-19/Canada/QC-1nIUJ-S8260531IA/2020	Canada	B.1.1.25
EPI_ISL_2970524|Canada|B.1.1.434	2021-03-01	hCoV-19/Canada/QC-1nMCY-T1013382/2021	Canada	B.1.1.434
EPI_ISL_2970525|Canada|B.1.243	2021-03-02	hCoV-19/Canada/QC-1nMCY-T1023629/2021	Canada	B.1.243
