EPI	Date	GISAID	Location	lineage
EPI_ISL_2364142|Canada|B.1.1.121	2020-10-17	hCoV-19/Canada/ON-PHL-20-02972/2020	Canada	B.1.1.121
EPI_ISL_2364161|Canada|B.1.265	2020-11-04	hCoV-19/Canada/ON-PHL-20-03287/2020	Canada	B.1.265
EPI_ISL_2364177|Canada|B.1.265	2020-11-20	hCoV-19/Canada/ON-PHL-20-03937/2020	Canada	B.1.265
EPI_ISL_2364179|Canada|B.1.541	2020-11-17	hCoV-19/Canada/ON-PHL-20-03951/2020	Canada	B.1.541
EPI_ISL_2364202|Canada|B.1.265	2020-12-03	hCoV-19/Canada/ON-PHL-20-04359/2020	Canada	B.1.265
EPI_ISL_2364223|Canada|B.1.369	2020-12-17	hCoV-19/Canada/ON-PHL-21-00035/2020	Canada	B.1.369
EPI_ISL_2364236|Canada|B.1.1.417	2020-12-13	hCoV-19/Canada/ON-PHL-21-00166-v2/2020	Canada	B.1.1.417
EPI_ISL_2364239|Canada|A.23.1	2020-12-24	hCoV-19/Canada/ON-PHL-21-00209/2020	Canada	A.23.1
EPI_ISL_2364240|Canada|B.1.1.7	2020-12-24	hCoV-19/Canada/ON-PHL-21-00213/2020	Canada	B.1.1.7
EPI_ISL_2364270|Canada|A.29	2021-01-30	hCoV-19/Canada/ON-PHL-21-01557/2021	Canada	A.29
EPI_ISL_2364303|Canada|B.1.1.222	2021-01-30	hCoV-19/Canada/ON-PHL-21-02814/2021	Canada	B.1.1.222
EPI_ISL_2364313|Canada|AL.1	2021-02-02	hCoV-19/Canada/ON-PHL-21-03173/2021	Canada	AL.1
EPI_ISL_2364325|Canada|A.29	2021-02-13	hCoV-19/Canada/ON-PHL-21-03813/2021	Canada	A.29
EPI_ISL_2364342|Canada|A.29	2021-02-19	hCoV-19/Canada/ON-PHL-21-05665/2021	Canada	A.29
EPI_ISL_2364347|Canada|B.1.36.1	2021-02-25	hCoV-19/Canada/ON-PHL-21-05951/2021	Canada	B.1.36.1
EPI_ISL_2364375|Canada|B.1.369	2021-02-26	hCoV-19/Canada/ON-PHL-21-06600/2021	Canada	B.1.369
EPI_ISL_2364386|Canada|B.1.564.1	2021-02-24	hCoV-19/Canada/ON-PHL-21-06616/2021	Canada	B.1.564.1
EPI_ISL_2364428|Canada|R.1	2021-02-23	hCoV-19/Canada/ON-PHL-21-06690/2021	Canada	R.1
EPI_ISL_2364434|Canada|B.1.160	2021-02-24	hCoV-19/Canada/ON-PHL-21-06698/2021	Canada	B.1.160
EPI_ISL_2364440|Canada|B.1.411	2021-02-22	hCoV-19/Canada/ON-PHL-21-06706/2021	Canada	B.1.411
EPI_ISL_2385900|Canada|B.1.36.7	2020-12-08	hCoV-19/Canada/QC-1nIOU-A4084602/2020	Canada	B.1.36.7
EPI_ISL_2385932|Canada|B.1.1.176	2020-12-20	hCoV-19/Canada/QC-1nIUX-00437CO/2020	Canada	B.1.1.176
EPI_ISL_2385978|Canada|B.1.505	2020-12-03	hCoV-19/Canada/QC-1nIJU-71739199/2020	Canada	B.1.505
EPI_ISL_2386022|Canada|B.1.478	2020-12-01	hCoV-19/Canada/QC-1nIEOQ-7051517281/2020	Canada	B.1.478
EPI_ISL_2386108|Canada|B.1.160.15	2021-01-18	hCoV-19/Canada/QC-1nDJXQ-2101803088A/2021	Canada	B.1.160.15
EPI_ISL_2386140|Canada|B.1.1.297	2020-11-04	hCoV-19/Canada/QC-1nIUM-T9043939/2020	Canada	B.1.1.297
EPI_ISL_2388236|Canada|None	2021-01-02	hCoV-19/Canada/QC-1nDJLG-R7020831/2021	Canada	None
EPI_ISL_2388239|Canada|B.1.243	2020-12-29	hCoV-19/Canada/QC-1nDJXQ-2036404924A/2020	Canada	B.1.243
EPI_ISL_2388243|Canada|B.1.177	2020-11-30	hCoV-19/Canada/QC-1nDJXQ-2033505735A/2020	Canada	B.1.177
EPI_ISL_2388329|Canada|B.1.36.7	2020-12-29	hCoV-19/Canada/QC-1nKGZ-R6291207/2020	Canada	B.1.36.7
EPI_ISL_2388342|Canada|P.2	2020-12-30	hCoV-19/Canada/QC-1nKGZ-R6300987/2020	Canada	P.2
EPI_ISL_2388431|Canada|B.1.177	2021-01-04	hCoV-19/Canada/QC-1nIUH-5524243363/2021	Canada	B.1.177
EPI_ISL_2390810|Canada|B.1.1.176	2021-01-27	hCoV-19/Canada/QC-1nMCY-S9273057/2021	Canada	B.1.1.176
EPI_ISL_2390829|Canada|B.1.543	2021-01-05	hCoV-19/Canada/QC-1nKGZ-R7060416/2021	Canada	B.1.543
EPI_ISL_2390844|Canada|B.1.1	2021-01-11	hCoV-19/Canada/QC-1nKGZ-R7110947/2021	Canada	B.1.1
EPI_ISL_2390854|Canada|B.1.1.434	2021-01-12	hCoV-19/Canada/QC-1nKGZ-R7121563/2021	Canada	B.1.1.434
EPI_ISL_2390857|Canada|B.1.1.519	2021-01-13	hCoV-19/Canada/QC-1nKGZ-R7131242/2021	Canada	B.1.1.519
EPI_ISL_2390917|Canada|B.1.1.274	2021-01-25	hCoV-19/Canada/QC-1nKGZ-R7251483/2021	Canada	B.1.1.274
EPI_ISL_2390919|Canada|B.1.1.294	2021-01-25	hCoV-19/Canada/QC-1nKGZ-R7253844/2021	Canada	B.1.1.294
EPI_ISL_2390922|Canada|B.1.36.7	2021-01-26	hCoV-19/Canada/QC-1nKGZ-R7261232/2021	Canada	B.1.36.7
EPI_ISL_2390974|Canada|B.1.160.21	2021-01-10	hCoV-19/Canada/QC-1nIOU-A5101839/2021	Canada	B.1.160.21
EPI_ISL_2391003|Canada|None	2021-01-22	hCoV-19/Canada/QC-1nIUH-5524269389/2021	Canada	None
EPI_ISL_2451645|Canada|B.1.471	2021-02-18	hCoV-19/Canada/ON-PHL-21-13150-v2/2021	Canada	B.1.471
EPI_ISL_2451647|Canada|B.1.36.8	2021-02-18	hCoV-19/Canada/ON-PHL-21-13151-v2/2021	Canada	B.1.36.8
EPI_ISL_2451887|Canada|AZ.1	2021-04-27	hCoV-19/Canada/ON-PHL-21-13548-v2/2021	Canada	AZ.1
EPI_ISL_2452111|Canada|B.1.526	2021-04-05	hCoV-19/Canada/ON-PHL-21-13750/2021	Canada	B.1.526
EPI_ISL_2452329|Canada|B.1.526	2021-04-19	hCoV-19/Canada/ON-PHL-21-14068/2021	Canada	B.1.526
EPI_ISL_2452354|Canada|B.1.160.33	2021-04-10	hCoV-19/Canada/ON-PHL-21-14178-v2/2021	Canada	B.1.160.33
EPI_ISL_2452427|Canada|B.1.36.18	2021-04-20	hCoV-19/Canada/ON-PHL-21-14277-v2/2021	Canada	B.1.36.18
EPI_ISL_2452463|Canada|C.36.1	2021-04-01	hCoV-19/Canada/ON-PHL-21-14321-v2/2021	Canada	C.36.1
EPI_ISL_2452472|Canada|B.1.1.487	2021-03-31	hCoV-19/Canada/ON-PHL-21-14331-v2/2021	Canada	B.1.1.487
EPI_ISL_2452488|Canada|B.1.2	2021-05-06	hCoV-19/Canada/ON-PHL-21-14951/2021	Canada	B.1.2
EPI_ISL_2452510|Canada|B.1.427	2021-05-05	hCoV-19/Canada/ON-PHL-21-14974/2021	Canada	B.1.427
EPI_ISL_2452555|Canada|B.1.1	2021-05-09	hCoV-19/Canada/ON-PHL-21-17111/2021	Canada	B.1.1
EPI_ISL_2452612|Canada|AZ.1	2021-05-10	hCoV-19/Canada/ON-PHL-21-17173/2021	Canada	AZ.1
EPI_ISL_2452624|Canada|A.23.1	2021-05-11	hCoV-19/Canada/ON-PHL-21-17186/2021	Canada	A.23.1
EPI_ISL_2452713|Canada|B.1.619	2021-05-08	hCoV-19/Canada/ON-PHL-21-17279/2021	Canada	B.1.619
EPI_ISL_2452728|Canada|AY.55	2021-04-27	hCoV-19/Canada/ON-PHL-21-17382/2021	Canada	AY.55
EPI_ISL_2452802|Canada|AY.55	2021-04-22	hCoV-19/Canada/ON-PHL-21-17464/2021	Canada	AY.55
EPI_ISL_2452837|Canada|B.1.351.2	2021-04-22	hCoV-19/Canada/ON-PHL-21-17513/2021	Canada	B.1.351.2
EPI_ISL_2452865|Canada|B.1.160	2021-05-14	hCoV-19/Canada/ON-PHL-21-17541/2021	Canada	B.1.160
EPI_ISL_2452884|Canada|AY.16	2021-05-13	hCoV-19/Canada/ON-PHL-21-17560/2021	Canada	AY.16
EPI_ISL_2452885|Canada|AY.15	2021-05-12	hCoV-19/Canada/ON-PHL-21-17561/2021	Canada	AY.15
EPI_ISL_2452886|Canada|AY.61	2021-05-12	hCoV-19/Canada/ON-PHL-21-17562/2021	Canada	AY.61
EPI_ISL_2452891|Canada|AY.14	2021-05-11	hCoV-19/Canada/ON-PHL-21-17568/2021	Canada	AY.14
EPI_ISL_2452901|Canada|AY.74	2021-05-13	hCoV-19/Canada/ON-PHL-21-17578/2021	Canada	AY.74
EPI_ISL_2453000|Canada|AY.75	2021-05-18	hCoV-19/Canada/ON-PHL-21-17681/2021	Canada	AY.75
EPI_ISL_2453140|Canada|P.1	2021-05-17	hCoV-19/Canada/ON-PHL-21-17831/2021	Canada	P.1
EPI_ISL_2453152|Canada|AY.14	2021-05-18	hCoV-19/Canada/ON-PHL-21-17844/2021	Canada	AY.14
EPI_ISL_2453157|Canada|B.1.620	2021-05-18	hCoV-19/Canada/ON-PHL-21-17850/2021	Canada	B.1.620
EPI_ISL_2453185|Canada|B.1.617.1	2021-04-20	hCoV-19/Canada/ON-PHL-21-17878/2021	Canada	B.1.617.1
EPI_ISL_2453193|Canada|B.1.1.7	2021-04-20	hCoV-19/Canada/ON-PHL-21-17889/2021	Canada	B.1.1.7
EPI_ISL_2453197|Canada|AY.34	2021-04-20	hCoV-19/Canada/ON-PHL-21-17895/2021	Canada	AY.34
EPI_ISL_2453200|Canada|C.36.3	2021-04-20	hCoV-19/Canada/ON-PHL-21-17900/2021	Canada	C.36.3
EPI_ISL_2453205|Canada|AY.23.1	2021-04-20	hCoV-19/Canada/ON-PHL-21-17907/2021	Canada	AY.23.1
EPI_ISL_2453213|Canada|AY.100	2021-04-22	hCoV-19/Canada/ON-PHL-21-17919/2021	Canada	AY.100
EPI_ISL_2453217|Canada|AY.10	2021-04-21	hCoV-19/Canada/ON-PHL-21-17928/2021	Canada	AY.10
EPI_ISL_2453219|Canada|AY.122	2021-04-21	hCoV-19/Canada/ON-PHL-21-17930/2021	Canada	AY.122
EPI_ISL_2477516|Canada|B.1.351	2021-04-19	hCoV-19/Canada/AB-ABPHL-13617/2021	Canada	B.1.351
EPI_ISL_2477921|Canada|B.1.456	2021-01-31	hCoV-19/Canada/AB-ABPHL-14206/2021	Canada	B.1.456
EPI_ISL_2478007|Canada|B.1.36	2021-04-19	hCoV-19/Canada/AB-ABPHL-14346/2021	Canada	B.1.36
EPI_ISL_2478052|Canada|B.1.456	2021-04-16	hCoV-19/Canada/AB-ABPHL-14403/2021	Canada	B.1.456
EPI_ISL_2478172|Canada|A.23.1	2021-04-16	hCoV-19/Canada/AB-ABPHL-14560/2021	Canada	A.23.1
EPI_ISL_2478379|Canada|B.1.1.222	2021-04-21	hCoV-19/Canada/AB-ABPHL-14932/2021	Canada	B.1.1.222
EPI_ISL_2478495|Canada|B.1.36	2021-04-17	hCoV-19/Canada/AB-ABPHL-15107/2021	Canada	B.1.36
EPI_ISL_2478515|Canada|AY.27	2021-04-16	hCoV-19/Canada/AB-ABPHL-15133/2021	Canada	AY.27
EPI_ISL_2478554|Canada|A.23.1	2021-04-20	hCoV-19/Canada/AB-ABPHL-15184/2021	Canada	A.23.1
EPI_ISL_2478641|Canada|AY.10	2021-04-14	hCoV-19/Canada/AB-ABPHL-15372/2021	Canada	AY.10
EPI_ISL_2478688|Canada|B.1.456	2021-04-24	hCoV-19/Canada/AB-ABPHL-15458/2021	Canada	B.1.456
EPI_ISL_2478909|Canada|B.1.351.3	2021-05-01	hCoV-19/Canada/AB-ABPHL-15722/2021	Canada	B.1.351.3
EPI_ISL_2478925|Canada|B.1.438.1	2021-04-14	hCoV-19/Canada/AB-ABPHL-15759/2021	Canada	B.1.438.1
EPI_ISL_2479083|Canada|B.1.438.1	2021-04-28	hCoV-19/Canada/AB-ABPHL-16024/2021	Canada	B.1.438.1
EPI_ISL_2479113|Canada|B.1.36	2021-03-16	hCoV-19/Canada/AB-ABPHL-16110/2021	Canada	B.1.36
EPI_ISL_2479284|Canada|B.1.561	2021-04-28	hCoV-19/Canada/AB-ABPHL-16365/2021	Canada	B.1.561
EPI_ISL_2479299|Canada|AM.4	2021-05-02	hCoV-19/Canada/AB-ABPHL-16398/2021	Canada	AM.4
EPI_ISL_2479314|Canada|AZ.6	2021-04-28	hCoV-19/Canada/AB-ABPHL-16432/2021	Canada	AZ.6
EPI_ISL_2479400|Canada|B.1.351.3	2021-04-18	hCoV-19/Canada/AB-ABPHL-16525/2021	Canada	B.1.351.3
EPI_ISL_2479473|Canada|A.23.1	2021-04-29	hCoV-19/Canada/AB-ABPHL-16678/2021	Canada	A.23.1
EPI_ISL_2479478|Canada|AE.8	2020-07-24	hCoV-19/Canada/AB-ABPHL-16783/2020	Canada	AE.8
EPI_ISL_2479480|Canada|B.1.395	2020-11-18	hCoV-19/Canada/AB-ABPHL-16787/2020	Canada	B.1.395
EPI_ISL_2479654|Canada|B.1.36	2021-04-28	hCoV-19/Canada/AB-ABPHL-17037/2021	Canada	B.1.36
EPI_ISL_2479800|Canada|B.1.351	2021-05-01	hCoV-19/Canada/AB-ABPHL-17218/2021	Canada	B.1.351
EPI_ISL_2479825|Canada|AZ.6	2021-04-23	hCoV-19/Canada/AB-ABPHL-17250/2021	Canada	AZ.6
EPI_ISL_2479874|Canada|AY.93	2021-04-25	hCoV-19/Canada/AB-ABPHL-17309/2021	Canada	AY.93
EPI_ISL_2484624|Canada|AY.15	2021-05-01	hCoV-19/Canada/NL-NML-62030/2021	Canada	AY.15
EPI_ISL_2484631|Canada|AY.10	2021-05-14	hCoV-19/Canada/NL-NML-85342/2021	Canada	AY.10
EPI_ISL_2495593|Canada|B.1.170	2021-04-07	hCoV-19/Canada/MB-NML-60253/2021	Canada	B.1.170
EPI_ISL_2495596|Canada|B.1.170	2021-04-22	hCoV-19/Canada/MB-NML-60263/2021	Canada	B.1.170
EPI_ISL_2495598|Canada|B.1.170	2021-05-21	hCoV-19/Canada/MB-NML-86814/2021	Canada	B.1.170
EPI_ISL_2495674|Canada|B.1.526	2021-04-29	hCoV-19/Canada/MB-NML-70544/2021	Canada	B.1.526
EPI_ISL_2495683|Canada|B.1.526	2021-05-10	hCoV-19/Canada/MB-NML-85422/2021	Canada	B.1.526
EPI_ISL_2495708|Canada|B.1.526	2021-05-22	hCoV-19/Canada/MB-NML-86809/2021	Canada	B.1.526
EPI_ISL_2495714|Canada|B.1.617.1	2021-03-14	hCoV-19/Canada/MB-NML-21223/2021	Canada	B.1.617.1
EPI_ISL_2495729|Canada|AE.8	2021-04-04	hCoV-19/Canada/MB-NML-34965/2021	Canada	AE.8
EPI_ISL_2495746|Canada|B.1.2	2021-05-18	hCoV-19/Canada/MB-NML-86739/2021	Canada	B.1.2
EPI_ISL_2495755|Canada|AE.8	2021-05-22	hCoV-19/Canada/MB-NML-86803/2021	Canada	AE.8
EPI_ISL_2497956|Canada|B.1.1.291	2020-09-11	hCoV-19/Canada/BC-BCCDC-9644/2020	Canada	B.1.1.291
EPI_ISL_2497983|Canada|B.1.177	2020-12-30	hCoV-19/Canada/BC-BCCDC-15669/2020	Canada	B.1.177
EPI_ISL_2497987|Canada|B.1.36.36	2021-01-04	hCoV-19/Canada/BC-BCCDC-15681/2021	Canada	B.1.36.36
EPI_ISL_2498001|Canada|B.1.36.36	2021-01-11	hCoV-19/Canada/BC-BCCDC-34984/2021	Canada	B.1.36.36
EPI_ISL_2498059|Canada|B.1.128	2020-12-30	hCoV-19/Canada/BC-BCCDC-35061/2020	Canada	B.1.128
EPI_ISL_2498076|Canada|AW.1	2020-12-01	hCoV-19/Canada/BC-BCCDC-35095/2020	Canada	AW.1
EPI_ISL_2498079|Canada|AW.1	2020-12-26	hCoV-19/Canada/BC-BCCDC-35099/2020	Canada	AW.1
EPI_ISL_2498146|Canada|B.1.551	2021-01-14	hCoV-19/Canada/BC-BCCDC-35196/2021	Canada	B.1.551
EPI_ISL_2498148|Canada|B.1.351	2020-12-28	hCoV-19/Canada/BC-BCCDC-35199/2020	Canada	B.1.351
EPI_ISL_2498152|Canada|B.1.596	2020-12-10	hCoV-19/Canada/BC-BCCDC-35204/2020	Canada	B.1.596
EPI_ISL_2498153|Canada|B.1.596	2020-12-03	hCoV-19/Canada/BC-BCCDC-35206/2020	Canada	B.1.596
EPI_ISL_2498242|Canada|B.1.438.1	2021-01-06	hCoV-19/Canada/BC-BCCDC-35335/2021	Canada	B.1.438.1
EPI_ISL_2498259|Canada|AW.1	2021-01-19	hCoV-19/Canada/BC-BCCDC-35434/2021	Canada	AW.1
EPI_ISL_2498265|Canada|B.1.351	2020-12-21	hCoV-19/Canada/BC-BCCDC-35445/2020	Canada	B.1.351
EPI_ISL_2498269|Canada|AW.1	2021-01-08	hCoV-19/Canada/BC-BCCDC-35477/2021	Canada	AW.1
EPI_ISL_2498324|Canada|B.1.36.37	2021-01-18	hCoV-19/Canada/BC-BCCDC-35567/2021	Canada	B.1.36.37
EPI_ISL_2498352|Canada|B.1.1.411	2021-01-06	hCoV-19/Canada/BC-BCCDC-35603/2021	Canada	B.1.1.411
EPI_ISL_2498374|Canada|B.1.429	2021-01-10	hCoV-19/Canada/BC-BCCDC-35636/2021	Canada	B.1.429
EPI_ISL_2498408|Canada|B.1.239	2021-01-05	hCoV-19/Canada/BC-BCCDC-35687/2021	Canada	B.1.239
EPI_ISL_2498411|Canada|B.1.1.369	2021-01-04	hCoV-19/Canada/BC-BCCDC-35694/2021	Canada	B.1.1.369
EPI_ISL_2498443|Canada|B.1.36.36	2020-12-24	hCoV-19/Canada/BC-BCCDC-35733/2020	Canada	B.1.36.36
EPI_ISL_2498519|Canada|B.1.279	2021-01-08	hCoV-19/Canada/BC-BCCDC-35844/2021	Canada	B.1.279
EPI_ISL_2498541|Canada|B.1.1	2021-03-22	hCoV-19/Canada/QC-L00337555001/2021	Canada	B.1.1
EPI_ISL_2498611|Canada|B.1.36.37	2021-01-11	hCoV-19/Canada/BC-BCCDC-35995/2021	Canada	B.1.36.37
EPI_ISL_2498647|Canada|B.1.427	2021-01-06	hCoV-19/Canada/BC-BCCDC-36055/2021	Canada	B.1.427
EPI_ISL_2498671|Canada|B.1.1.1	2021-01-13	hCoV-19/Canada/BC-BCCDC-36083/2021	Canada	B.1.1.1
EPI_ISL_2498735|Canada|B.1.240	2020-11-26	hCoV-19/Canada/BC-BCCDC-36187/2020	Canada	B.1.240
EPI_ISL_2498744|Canada|B.1.36.36	2020-12-31	hCoV-19/Canada/BC-BCCDC-36199/2020	Canada	B.1.36.36
EPI_ISL_2498822|Canada|B.1.509	2021-01-10	hCoV-19/Canada/BC-BCCDC-36310/2021	Canada	B.1.509
EPI_ISL_2498895|Canada|B.1.128	2021-01-05	hCoV-19/Canada/BC-BCCDC-36411/2021	Canada	B.1.128
EPI_ISL_2498908|Canada|B.1.1.385	2021-01-16	hCoV-19/Canada/BC-BCCDC-36451/2021	Canada	B.1.1.385
EPI_ISL_2499015|Canada|B.1.398	2020-12-19	hCoV-19/Canada/BC-BCCDC-36578/2020	Canada	B.1.398
EPI_ISL_2499056|Canada|B.1.577	2021-01-18	hCoV-19/Canada/BC-BCCDC-36641/2021	Canada	B.1.577
EPI_ISL_2499129|Canada|B.1.429	2021-01-14	hCoV-19/Canada/BC-BCCDC-36758/2021	Canada	B.1.429
EPI_ISL_2499150|Canada|B.1.234	2021-01-05	hCoV-19/Canada/BC-BCCDC-36799/2021	Canada	B.1.234
EPI_ISL_2499162|Canada|B.1.36.22	2021-01-20	hCoV-19/Canada/BC-BCCDC-36816/2021	Canada	B.1.36.22
EPI_ISL_2499173|Canada|B.1.369	2021-01-13	hCoV-19/Canada/BC-BCCDC-36834/2021	Canada	B.1.369
EPI_ISL_2499193|Canada|B.1.2	2021-01-12	hCoV-19/Canada/BC-BCCDC-36872/2021	Canada	B.1.2
EPI_ISL_2499268|Canada|P.2	2021-01-10	hCoV-19/Canada/BC-BCCDC-36974/2021	Canada	P.2
EPI_ISL_2499297|Canada|B.1.234	2020-12-18	hCoV-19/Canada/BC-BCCDC-37009/2020	Canada	B.1.234
EPI_ISL_2499312|Canada|B.1.351	2021-01-01	hCoV-19/Canada/BC-BCCDC-37028/2021	Canada	B.1.351
EPI_ISL_2499316|Canada|B.1.177.87	2020-12-12	hCoV-19/Canada/BC-BCCDC-37033/2020	Canada	B.1.177.87
EPI_ISL_2499317|Canada|B.1.36.36	2021-01-30	hCoV-19/Canada/BC-BCCDC-37034/2021	Canada	B.1.36.36
EPI_ISL_2499342|Canada|B.1.409	2021-01-01	hCoV-19/Canada/BC-BCCDC-37072/2021	Canada	B.1.409
EPI_ISL_2499344|Canada|B.1.128	2021-01-13	hCoV-19/Canada/BC-BCCDC-37074/2021	Canada	B.1.128
EPI_ISL_2499354|Canada|AW.1	2021-01-14	hCoV-19/Canada/BC-BCCDC-37086/2021	Canada	AW.1
EPI_ISL_2499412|Canada|B.1.351	2020-12-19	hCoV-19/Canada/BC-BCCDC-37156/2020	Canada	B.1.351
EPI_ISL_2499418|Canada|P.2	2021-01-02	hCoV-19/Canada/BC-BCCDC-37163/2021	Canada	P.2
EPI_ISL_2499433|Canada|P.2	2021-01-11	hCoV-19/Canada/BC-BCCDC-37181/2021	Canada	P.2
EPI_ISL_2499452|Canada|AW.1	2021-01-03	hCoV-19/Canada/BC-BCCDC-37205/2021	Canada	AW.1
EPI_ISL_2499463|Canada|B.1.577	2021-01-05	hCoV-19/Canada/BC-BCCDC-37217/2021	Canada	B.1.577
EPI_ISL_2499472|Canada|B.1.577	2021-01-12	hCoV-19/Canada/BC-BCCDC-37227/2021	Canada	B.1.577
EPI_ISL_2499496|Canada|B.1.36.37	2021-01-06	hCoV-19/Canada/BC-BCCDC-37254/2021	Canada	B.1.36.37
EPI_ISL_2499526|Canada|B.1.551	2021-01-07	hCoV-19/Canada/BC-BCCDC-37305/2021	Canada	B.1.551
EPI_ISL_2499535|Canada|B.1.1.170	2021-01-05	hCoV-19/Canada/BC-BCCDC-37322/2021	Canada	B.1.1.170
EPI_ISL_2499578|Canada|B.1.181	2020-12-30	hCoV-19/Canada/BC-BCCDC-37388/2020	Canada	B.1.181
EPI_ISL_2499589|Canada|B.1.1.222	2021-01-09	hCoV-19/Canada/BC-BCCDC-37403/2021	Canada	B.1.1.222
EPI_ISL_2499605|Canada|A.23.1	2021-01-16	hCoV-19/Canada/BC-BCCDC-37422/2021	Canada	A.23.1
EPI_ISL_2499615|Canada|B.1.2	2020-12-20	hCoV-19/Canada/BC-BCCDC-37439/2020	Canada	B.1.2
EPI_ISL_2499618|Canada|A.21	2021-01-18	hCoV-19/Canada/BC-BCCDC-37442/2021	Canada	A.21
EPI_ISL_2499638|Canada|B.1.36	2021-01-03	hCoV-19/Canada/BC-BCCDC-37467/2021	Canada	B.1.36
EPI_ISL_2499646|Canada|B.1.1.519	2020-12-01	hCoV-19/Canada/BC-BCCDC-37476/2020	Canada	B.1.1.519
EPI_ISL_2499659|Canada|B.1.177.81	2021-01-04	hCoV-19/Canada/BC-BCCDC-37494/2021	Canada	B.1.177.81
EPI_ISL_2499685|Canada|C.36	2021-01-03	hCoV-19/Canada/BC-BCCDC-37524/2021	Canada	C.36
EPI_ISL_2499686|Canada|P.2	2020-12-07	hCoV-19/Canada/BC-BCCDC-37525/2020	Canada	P.2
EPI_ISL_2499689|Canada|B.1.551	2021-01-03	hCoV-19/Canada/BC-BCCDC-37528/2021	Canada	B.1.551
EPI_ISL_2499704|Canada|Q.4	2021-01-13	hCoV-19/Canada/BC-BCCDC-37546/2021	Canada	Q.4
EPI_ISL_2499717|Canada|B.1.1.416	2021-01-21	hCoV-19/Canada/BC-BCCDC-37565/2021	Canada	B.1.1.416
EPI_ISL_2499719|Canada|B.1.1.28	2021-01-23	hCoV-19/Canada/BC-BCCDC-37568/2021	Canada	B.1.1.28
EPI_ISL_2499721|Canada|B.1.1.369	2021-01-11	hCoV-19/Canada/BC-BCCDC-37573/2021	Canada	B.1.1.369
EPI_ISL_2499729|Canada|B.1.1.411	2020-12-19	hCoV-19/Canada/BC-BCCDC-37581/2020	Canada	B.1.1.411
EPI_ISL_2499733|Canada|B.1.298	2021-01-12	hCoV-19/Canada/BC-BCCDC-37587/2021	Canada	B.1.298
EPI_ISL_2499740|Canada|B.1.1.416	2020-12-11	hCoV-19/Canada/BC-BCCDC-37599/2020	Canada	B.1.1.416
EPI_ISL_2499746|Canada|B.1.351	2021-01-26	hCoV-19/Canada/BC-BCCDC-37615/2021	Canada	B.1.351
EPI_ISL_2522118|Canada|AE.8	2020-10-14	hCoV-19/Canada/BC-BCCDC-11924/2020	Canada	AE.8
EPI_ISL_2522120|Canada|A	2020-01-01	hCoV-19/Canada/BC-BCCDC-12311/2020	Canada	A
EPI_ISL_2522180|Canada|AW.1	2021-02-26	hCoV-19/Canada/BC-BCCDC-24836/2021	Canada	AW.1
EPI_ISL_2522212|Canada|B.1.2	2021-03-02	hCoV-19/Canada/BC-BCCDC-24883/2021	Canada	B.1.2
EPI_ISL_2522219|Canada|B.1.36.36	2021-02-22	hCoV-19/Canada/BC-BCCDC-24892/2021	Canada	B.1.36.36
EPI_ISL_2522222|Canada|B.1.429	2021-03-02	hCoV-19/Canada/BC-BCCDC-24896/2021	Canada	B.1.429
EPI_ISL_2522232|Canada|AZ.5	2021-03-02	hCoV-19/Canada/BC-BCCDC-24912/2021	Canada	AZ.5
EPI_ISL_2522264|Canada|AW.1	2021-03-01	hCoV-19/Canada/BC-BCCDC-24965/2021	Canada	AW.1
EPI_ISL_2522267|Canada|B.1.568	2021-02-22	hCoV-19/Canada/BC-BCCDC-24968/2021	Canada	B.1.568
EPI_ISL_2522318|Canada|B.1.438.1	2021-03-01	hCoV-19/Canada/BC-BCCDC-25047/2021	Canada	B.1.438.1
EPI_ISL_2522454|Canada|B.1.618	2021-03-02	hCoV-19/Canada/BC-BCCDC-25248/2021	Canada	B.1.618
EPI_ISL_2522555|Canada|P.1	2021-03-02	hCoV-19/Canada/BC-BCCDC-25397/2021	Canada	P.1
EPI_ISL_2522757|Canada|B.1.36.36	2021-01-22	hCoV-19/Canada/BC-BCCDC-25685/2021	Canada	B.1.36.36
EPI_ISL_2522823|Canada|B.1.240	2021-02-05	hCoV-19/Canada/BC-BCCDC-25767/2021	Canada	B.1.240
EPI_ISL_2522864|Canada|B.1.568	2021-02-10	hCoV-19/Canada/BC-BCCDC-25823/2021	Canada	B.1.568
EPI_ISL_2522868|Canada|B.1.2	2021-02-10	hCoV-19/Canada/BC-BCCDC-25837/2021	Canada	B.1.2
EPI_ISL_2522883|Canada|B.1.438	2021-02-10	hCoV-19/Canada/BC-BCCDC-25852/2021	Canada	B.1.438
EPI_ISL_2523075|Canada|P.2	2021-02-15	hCoV-19/Canada/BC-BCCDC-26270/2021	Canada	P.2
EPI_ISL_2523076|Canada|AW.1	2021-02-15	hCoV-19/Canada/BC-BCCDC-26272/2021	Canada	AW.1
EPI_ISL_2523104|Canada|C.37	2021-02-15	hCoV-19/Canada/BC-BCCDC-26334/2021	Canada	C.37
EPI_ISL_2523156|Canada|B.1.568	2021-02-16	hCoV-19/Canada/BC-BCCDC-26399/2021	Canada	B.1.568
EPI_ISL_2523257|Canada|B.1.575.1	2021-02-08	hCoV-19/Canada/BC-BCCDC-26535/2021	Canada	B.1.575.1
EPI_ISL_2523262|Canada|P.2	2021-01-29	hCoV-19/Canada/BC-BCCDC-26546/2021	Canada	P.2
